Programa;Nivel;Año
92400;96;2016
92400;98;2017-1
789;100;2016
16841;86,24;2016
91489;84,44;2016
11632;100;2016
12696;96,55;2016
790;98,46;2016
783;97,83;2016
20824;90,91;2016
8405;94,29;2016
3928;97,56;2016
3426;85,71;2016
101558;78,18;2016
4492;89,47;2016
3318;88,89;2016
6564;100;2016
19127;84,75;2016
6566;100;2016
16843;92,42;2016
2887;89,74;2016
788;67,8;2016
103814;88,31;2016
90839;81,71;2016
3474;94,55;2016
777;79,31;2016
578;88,14;2016
90860;65,15;2016
2972;95,56;2016
3319;60;2016
779;89,29;2016
91280;100;2016
4095;85,19;2016
4096;59,46;2016
16840;60,38;2016
2715;62,07;2016
4282;93;2016
16837;96,3;2016
16842;96,45;2016
786;96,55;2016
789;100;2015
16841;100;2015
91489;100;2015
11632;98;2015
12696;96;2015
790;96;2015
783;96;2015
20824;94;2015
8405;94;2015
3928;93;2015
3426;92;2015
16839;92;2015
4492;91;2015
3318;89;2015
6564;88;2015
19127;87;2015
6566;87;2015
16843;87;2015
2887;87;2015
788;86;2015
103814;86;2015
90839;83;2015
3474;82;2015
777;82;2015
578;80;2015
90860;77;2015
2972;77;2015
3319;75;2015
779;73;2015
91280;71;2015
4095;66;2015
4096;64;2015
16840;63;2015
2715;46;2015
4282;97,8;2014
777;96;2014
4096;94,9;2014
3928;93;2014
6564;93;2014
6566;92;2014
8405;88;2014
11632;88;2014
789;87;2014
12696;86,58;2014
90839;85,5;2014
790;84;2014
105002;84;2014
578;84;2014
783;80;2014
20824;80;2014
3474;80;2014
16842;79,2;2014
16843;79,2;2014
16841;79;2014
3319;77;2014
16839;76;2014
3189;75;2014
2887;75;2014
4492;74,49;2014
2972;73;2014
91489;71,6;2014
19127;69;2014
103814;63;2014
2715;57;2014
91280;55;2014
788;53,92;2014
4095;50;2014
90860;37;2014
1296;77,59;2014
1296;85;2015
1296;87,2;2016
788;99,4;2017-1
105565;100;2017-1
19127;98,25;2017-1
4096;100;2017-1
3426;98,81;2017-1
90839;100;2017-1
90860;99,02;2017-1
786;100;2017-1
103814;100;2017-1
4095;100;2017-1
12696;96,3;2017-1
578;99,09;2017-1
3318;90,48;2017-1
6564;94,12;2017-1
790;96,61;2017-1
91280;100;2017-1
789;100;2017-1
101575;98,36;2017-1
101580;100;2017-1
3474;100;2017-1
101579;100;2017-1
11632;100;2017-1
6566;100;2017-1
16840;100;2017-1
16839;92,54;2017-1
16837;100;2017-1
16843;98,88;2017-1
2715;100;2017-1
2972;100;2017-1
16842;100;2017-1
16841;100;2017-1
783;100;2017-1
779;100;2017-1
20824;100;2017-1
2887;98,48;2017-1
91489;97,3;2017-1
3928;98,79;2017-1
4492;100;2017-1
3319;100;2017-1
8405;100;2017-1
777;100;2017-1
