programa;periodo;graduados;desertores;desercion;retencion
0191;2008-1;492;24;4,53;95,47
019127;2008-2;571;30;5,22;94,78
019127;2009-1;461;19;3,86;96,14
019127;2009-2;548;45;7,88;92,12
019127;2010-1;598;26;5,64;94,36
019127;2010-2;627;38;6,93;93,07
019127;2011-1;507;65;10,87;89,13
019127;2011-2;517;28;4,47;95,53
019127;2012-1;510;17;3,35;96,65
019127;2012-2;499;26;5,03;94,97
019127;2013-1;469;30;5,88;94,12
019127;2013-2;481;31;6,21;93,79
019127;2014-1;466;16;3,41;96,59
019127;2014-2;0;25;5,20;94,80
019127;2015-2;0;42;9,01;90,99
004096;2009-1;155;4;2,88;97,12
004096;2009-2;178;17;9,50;90,50
004096;2010-1;156;13;8,39;91,61
004096;2010-2;180;14;7,87;92,13
004096;2011-1;161;17;10,90;89,10
004096;2011-2;186;7;3,89;96,11
004096;2012-1;175;9;5,59;94,41
004096;2012-2;217;11;5,91;94,09
004096;2013-1;193;7;4,00;96,00
004096;2013-2;219;21;9,68;90,32
004096;2014-1;203;11;5,70;94,30
004096;2014-2;0;19;8,68;91,32
004096;2015-1;0;16;7,88;92,12
003426;2006-1;127;10;9,43;90,57
003426;2006-2;148;22;13,92;86,08
003426;2007-1;115;18;14,17;85,83
003426;2007-2;158;22;14,86;85,14
003426;2008-1;139;9;7,83;92,17
003426;2008-2;144;22;13,92;86,08
003426;2009-1;118;24;17,27;82,73
003426;2009-2;144;23;15,97;84,03
003426;2010-1;118;11;9,32;90,68
003426;2010-2;86;21;14,58;85,42
003426;2011-1;123;32;27,12;72,88
003426;2011-2;98;2;2,33;97,67
003426;2012-1;128;22;17,89;82,11
003426;2012-2;93;17;17,35;82,65
003426;2013-1;126;29;22,66;77,34
003426;2013-2;86;9;9,68;90,32
003426;2014-1;134;24;19,05;80,95
003426;2014-2;0;11;12,79;87,21
003426;2015-1;0;34;25,37;74,63
090839;2010-1;324;16;3,65;96,35
090839;2010-2;327;21;5,61;94,39
090839;2011-1;266;31;9,57;90,43
090839;2011-2;274;12;3,67;96,33
090839;2012-1;311;5;1,88;98,12
090839;2012-2;331;19;6,93;93,07
090839;2013-1;293;7;2,25;97,75
090839;2013-2;313;25;7,55;92,45
090839;2014-1;290;21;7,17;92,83
090839;2014-2;0;37;11,82;88,18
090839;2015-1;0;44;15,17;84,83
090860;2012-1;98;7;12,50;87,50
090860;2012-2;89;1;2,08;97,92
090860;2013-1;142;8;8,16;91,84
090860;2013-2;128;1;1,12;98,88
090860;2014-1;180;13;9,15;90,85
090860;2014-2;0;5;3,91;96,09
090860;2015-1;0;5;2,78;97,22
000786;2008-1;392;20;4,69;95,31
000786;2008-2;437;3;0,69;99,31
000786;2009-1;395;10;2,55;97,45
000786;2009-2;448;5;1,14;98,86
000786;2010-1;413;10;2,53;97,47
000786;2010-2;519;5;1,12;98,88
000786;2011-1;474;14;3,39;96,61
000786;2011-2;519;2;0,39;99,61
000786;2012-1;412;17;3,59;96,41
000786;2012-2;576;6;1,16;98,84
000786;2013-1;33;14;3,40;96,60
000786;2013-2;627;37;6,42;93,58
000786;2014-2;0;91;14,51;85,49
103814;2008-1;195;16;8,21;91,79
103814;2008-2;234;17;7,52;92,48
103814;2009-1;191;23;11,79;88,21
103814;2009-2;214;23;9,83;90,17
103814;2010-1;192;35;18,32;81,68
103814;2010-2;55;32;14,95;85,05
103814;2011-1;70;143;74,48;25,52
103814;2011-2;113;8;14,55;85,45
103814;2012-1;62;8;11,43;88,57
103814;2012-2;104;58;51,33;48,67
103814;2013-1;84;21;33,87;66,13
103814;2013-2;136;20;19,23;80,77
103814;2014-1;130;3;3,57;96,43
103814;2014-2;0;8;5,88;94,12
103814;2015-1;0;6;4,62;95,38
004095;2008-1;173;19;11,66;88,34
004095;2008-2;201;18;9,47;90,53
004095;2009-1;164;6;3,47;96,53
004095;2009-2;202;17;8,46;91,54
