|"id"|"Completado"|"Última página vista"|"Lenguaje inicial"|"Contraseña"|"Municipio "|"Facultad"|"Programa"|"Semestre"|"Genero"|"[¿Cómo califica Usted la Formación Académica impartida por el Programa al que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Considera Usted que los conocimientos  adquiridos  en su programa  académico,  son acordes a las necesidades  y expectativas de la región? ] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica la programación de los horarios de clase ?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted  el material bibliográfico existente en su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted  las ayudas didácticas existentes en su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la atención del personal administrativo del Programa al que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la atención del personal administrativo de la Facultad a la que pertenece?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted el cumplimiento de horarios del personal docente en su Programa Académico?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la metodología de enseñanza de los docentes de su Programa?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted a los docentes de la Universidad en cuanto a dominio de los cursos?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted a los docentes en cuanto a la vocación de servicio?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la gestión de los directivos de la Universidad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la cantidad actual de computadores en su Facultad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted la infraestructura de las aulas de clase, auditorios, espacios de estudio y su equipamiento?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"[¿Cómo califica Usted el estado de aseo y mantenimiento de las aulas de clase, auditorios, espacios de estudio y baños de su Facultad?] 
	Marque la opción según corresponda, calificando los siguientes aspectos del Programa al cual usted pertenece, en un rango de 1 a 5 donde:

	5= Excelente  4=Bueno  3= Regular,  2= Malo  1= Muy Malo"|"¿Cómo califica Usted  las prácticas académicas desarrolladas en su Programa?
(si califica menor de 3 explicar por qué)"|"Justifique la respuesta anterior"|"¿De la Formación Académica ofrecida por su Programa que le gustaría que se mejore prioritariamente?"|"
"
1|12|"2015-10-06 12:36:33"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|2|"Masculino"|"5=Excelente"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"3=Regular"|"5=Excelente"|"5=Excelente"||"que se mejore el apoyo y se de mas informacion de las oportunidades que hay en la universidad tanto academicas como de formaciones, gracias "|
2|14|"2015-10-06 12:41:02"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|6|"Masculino"|"2=Malo"|"3=Regular"|"2=Malo"|"1=Muy Malo"|"1=Muy Malo"|"3=Regular"|"4=Bueno"|"2=Malo"|"1=Muy Malo"|"4=Bueno"|"2=Malo"|"5=Excelente"|"3=Regular"|"4=Bueno"|"4=Bueno"|"3=Regular"|"El programa de zootecnia disminuyo las practicas en un 50%"|"No tenemos un director de programa, el que actualmente esta que es Luis Erneto Viteri, no sabe administrar el programa, es considerablemente notorio que quien mas parece el director de Programa es la Secretaria, quien se atribuye funciones que no le corresponden tergiversando Informaciones. El profesor Edmundo Apraez no tiene una buena metodologia, lo cual ha influido en la perdida de las materias que el dicta como son las Nutriciones y ha influido en mas de un 70% en la deserción de los estudiantes, est programa esta hace mas de 20 años, y el programa no ha hecho nada. A pesar de las denuncias de estudiantes, el programa a la voz del señor vitery mantiene Silencio.  "|
3|15|"2015-10-06 12:46:50"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|2|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"5=Excelente"|"5=Excelente"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"5=Excelente"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"||"me gustaría que se cambien algunos docentes ya que algunos no tienen disponibilidad de tiempo. Ya que tienen otros trabajos y eso nos perjudica en cuanto al horario ya que nosotros tenemos que acomodarnos al horario que el docente pueda quiero aclarar que no todos los docentes son asi"|
4|20|"2015-10-06 13:17:38"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|6|"Masculino"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"5=Excelente"|"5=Excelente"|"3=Regular"||"grupos de investigación."|
5|25|"2015-10-06 17:40:45"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|4|"Femenino"|"4=Bueno"|"4=Bueno"|"3=Regular"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"3=Regular"|"2=Malo"|"4=Bueno"|"4=Bueno"|"3=Regular"||"Practicas"|
6|27|"2015-10-06 18:54:20"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|4|"Femenino"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"1=Muy Malo"|"2=Malo"|"1=Muy Malo"|"2=Malo"|"1=Muy Malo"|"2=Malo"|"5=Excelente"|"3=Regular"|"Con discursos como falta de dinero para el desarrollo de las prácticas se están cancelando salidas que ayudan en mayor parte al aprendizaje del estudiante.  queremos aprobación de prácticas sin ninguna traba alguna.  el profesional se hace en el ámbito práctico y no encerrado en una aula "|"La metodología de enseñanza implantada de forma obsoleta, arcaica y fuera de contexto,impiden el buen desarrollo de aprendizaje y aumenta la decersion estudiantil, al llegar a tercer semestre nos encontramos con un filtro que prácticamente es la reducción de el numero de estudiantes que siguen con la carrera este filtro ocurre en principio con la materia de NUTRICIÓN GENERAL, en donde se matriculan entre 40 a 60 estudiantes y terminan solo 15 pasando a ""el siguiente filtro"" NUTRICIÓN DE NO RUMIANTES, NUTRICIÓN DE RUMIANTES Y ALIMENTACION. Como estudiante con ánimo de seguir adelante quiero por medio de este espacio se preste más atención a esta problemática con el docente que dicta la materia Edmudo Apraez.  También es menester recalcar que se está vulnerando la calidad de educación ya que el comité curricular impide la aprobación de cursos especiales pagados por los estudiantes que por lo general son solicitados a partir de la problemática antes mencionada. Si son pagados por el estudiante por que no aprobarlo?? Es uno o dos años más de gastos económicos para los estudiantes involucrados, le niegan la opción de poder nivelarse, existiendo formas que en el estatuto estudiantil se manifiestan en donde creo que si existen es para evitar la deserción y ayudar a los estudiantes a alcanzar sus metas.  Queremos docentes con vocación con interés con ética y moral. Queremos una educación de calidad. "|
7|30|"2015-10-06 21:00:35"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|6|"Femenino"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"3=Regular"|"3=Regular"|"4=Bueno"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"5=Excelente"|"4=Bueno"||"la metodología impartida por algunos docentes y también el que limiten tanto la existencia de los cursos especiales, no me parece que siendo la misma asignatura y que es dictada por docentes capacitados y con formación académica muy buena se busquen excusas como que es una asignatura netamente practica, etc y dejen de dar los cursos haciendo que los estudiantes que necesitan ver esa asignatura se atrasen un año.   "|
8|34|"2015-10-06 20:51:12"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|10|"Femenino"|"4=Bueno"|"5=Excelente"|"4=Bueno"|"3=Regular"|"4=Bueno"|"2=Malo"|"3=Regular"|"4=Bueno"|"2=Malo"|"3=Regular"|"3=Regular"|"4=Bueno"|"4=Bueno"|"4=Bueno"|"5=Excelente"|"4=Bueno"||"Me gustaria que se mejore la metodologia de algunas materias,que son pilares en la formacion de un zootecnista"|
9|36|"2015-10-06 21:47:33"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|4|"Masculino"|"3=Regular"|"4=Bueno"|"2=Malo"|"1=Muy Malo"|"3=Regular"|"1=Muy Malo"|"1=Muy Malo"|"4=Bueno"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"4=Bueno"|"4=Bueno"||"me gustaría que se mejore la forma de enseñanza de las materias nutrición general, de no rumiantes, rumiantes y alimentación, pues estas materia son el las causantes de que varios estudiantes abandonen la carrera "|
10|39|"2015-10-06 21:22:05"|1|"es"||"Pasto "|"Facultad de Ciencias Pecuarias"|"Zootecnia"|6|"Masculino"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"1=Muy Malo"|"4=Bueno"||"Se deberia mejorar la metodologia de las materias que son pilares de la carrera y las oportunidades de los estudiantes a los cursos especiales ya que despues de 2 semestre no se da oportunidad a recurrir a estos"|
