programa;periodo;graduados;desertores;desercion;retencion
019127;2008-1;492;24;4,53;95,47
019127;2008-2;571;30;5,22;94,78
019127;2009-1;461;19;3,86;96,14
019127;2009-2;548;45;7,88;92,12
019127;2010-1;598;26;5,64;94,36
019127;2010-2;627;38;6,93;93,07
019127;2011-1;507;65;10,87;89,13
019127;2011-2;517;28;4,47;95,53
019127;2012-1;510;17;3,35;96,65
019127;2012-2;499;26;5,03;94,97
019127;2013-1;469;30;5,88;94,12
019127;2013-2;481;31;6,21;93,79
019127;2014-1;466;16;3,41;96,59
019127;2014-2;0;25;5,20;94,80
019127;2015-2;0;42;9,01;90,99
004096;2009-1;155;4;2,88;97,12
004096;2009-2;178;17;9,50;90,50

